x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.12123098,0.943784653,0.978133225,0.186025888,0.343306232,-1.047052966,0.222346444,-0.028239543,-0.114995774,-0.249671061,-0.391353515,-0.355156805
0.714892826,0.156703187,0.311985199,0.904158198,0.025769614,-0.070963261,0.00769483,0.024020208,0.012192816,-0.00886613,0.011225751,-0.005394819
0.55114578,0.300466165,0.701103834,0.270255092,0.24961721,-1.00548096,0.052564075,0.177535719,0.016589308,-0.228829987,-0.113629799,-0.238796354
0.067283052,0.606021597,0.274331943,0.667405112,0.054543766,-0.164496443,0.032703546,0.036528442,0.026548562,-0.010118689,-0.005263777,-0.016804984
0.677777879,0.509996881,0.88297302,0.067408563,0.632299694,-2.612707518,-0.109931635,0.124325258,-0.314313054,-0.976921683,-0.971589077,-0.839790932
0.63117336,0.994418813,0.442297018,0.532095458,0.138467076,-0.406991022,0.035490879,0.05043801,0.052210804,-0.079426365,-0.070150583,-0.06883637
0.677776617,0.396556262,0.14367851,0.776227879,0.041337858,-0.118979043,0.012053216,0.033350944,0.022810316,-0.016626227,0.006766506,-0.007553901
0.810350017,0.882492042,0.543638116,0.424413539,0.196369482,-0.604054372,0.016605979,0.067891556,0.055435329,-0.14418108,-0.122112963,-0.129935908
0.087777863,0.794556325,0.056258954,0.86323458,0.031753936,-0.085963913,0.018190582,0.020421962,0.018640105,-0.003841345,-0.001128004,-0.003319953
0.713062189,0.083186706,0.5480157,0.569724147,0.071239075,-0.228997152,0.01549806,0.067624357,0.022669838,-0.040081476,0.020739973,-0.036239038
0.673153912,0.330313548,0.797809901,0.412603248,0.155340829,-0.532637275,0.028068273,0.116621444,0.013456087,-0.112148484,-0.029667057,-0.116054487
0.370004062,0.612392215,0.065403685,0.242863784,0.248534423,-1.020875934,0.094010231,0.094130153,0.17081003,-0.216572815,-0.216482034,-0.134740519
0.798466269,0.746886882,0.891016919,0.458503198,0.17699414,-0.528302753,0.019989746,0.083702676,0.008429514,-0.122649441,-0.085323076,-0.124505623
0.951108289,0.557510621,0.04448418,0.34753165,0.173533652,-0.593300854,-0.015040235,0.09257823,0.116609522,-0.14390521,-0.095819321,-0.066850576
0.263631334,0.149176279,0.912200977,0.5626299,0.071227047,-0.225886166,0.03501613,0.064689394,0.006592551,-0.026610644,0.014926783,-0.043214837
0.132942901,0.232257732,0.358485431,0.127953322,0.363690347,-1.938382053,0.238165008,0.251943883,0.129649437,-0.325167384,-0.306598981,-0.434913477
0.176297869,0.534885677,0.374990216,0.570509394,0.078353989,-0.251835406,0.042696062,0.052814716,0.033209066,-0.024481547,-0.01214726,-0.033672038
0.307333521,0.362830303,0.439063121,0.719076528,0.047646733,-0.143055946,0.022413903,0.038727066,0.019175519,-0.014039662,0.006893623,-0.016866352
0.170610997,0.785949299,0.178349225,0.681652522,0.059064515,-0.172989912,0.032048793,0.034150873,0.0318035,-0.014308905,-0.011952887,-0.014574081
0.067872366,0.479480004,0.884835767,0.161188321,0.345655917,-1.438989157,0.249378642,0.144124049,-0.094002016,-0.240395433,-0.360219697,-0.394749302
0.94348481,0.988374638,0.011860297,0.660847294,0.081652399,-0.219681073,0.00974267,0.037351252,0.05150015,-0.043659738,-0.027736184,-0.012339827
0.261117052,0.105358147,0.125320729,0.504496736,0.063996756,-0.222473477,0.031526901,0.059528493,0.037286054,-0.026879041,0.012961978,-0.020686472
0.087502984,0.648300322,0.467066359,0.532445826,0.093732609,-0.30138935,0.056599418,0.054901243,0.03386464,-0.025720243,-0.027740327,-0.047662237
0.766132092,0.671884135,0.704347923,0.63938704,0.096292556,-0.278713315,0.020205867,0.059920629,0.023550505,-0.04989426,-0.016847004,-0.04837442
0.535709765,0.689518858,0.141930342,0.784762859,0.047743377,-0.13448422,0.017280444,0.03183637,0.026364825,-0.01681516,-0.001840502,-0.008510548
0.460452645,0.87419509,0.490746395,0.631201412,0.094650414,-0.276687953,0.03602278,0.047701484,0.034395844,-0.039995498,-0.029664947,-0.041205916
0.080922634,0.215111515,0.496008185,0.09085972,0.43954246,-2.46554099,0.328784817,0.300848096,0.061156063,-0.398819326,-0.438837938,-0.636246654
0.506021559,0.026629879,0.864159628,0.917911904,0.024789418,-0.067007466,0.009677627,0.024506803,0.005876812,-0.006834627,0.013614701,-0.009219497
0.09226873,0.207672005,0.419998305,0.596301158,0.054291144,-0.175826941,0.032204889,0.047629951,0.021692784,-0.012971973,0.0097105,-0.023407892
0.713617133,0.205377578,0.232508486,0.039790034,0.63771191,-3.768757557,-0.191261945,0.411734975,0.338101866,-1.042936832,-0.834465646,-0.921045208
0.118703725,0.913451052,0.342699645,0.657253196,0.071560716,-0.206958525,0.040958436,0.035535926,0.032124458,-0.015995179,-0.021791535,-0.025017065
0.628835317,0.470706838,0.655994506,0.901789145,0.037968525,-0.102608427,0.012740143,0.030210142,0.012292494,-0.012207522,0.007554673,-0.012502657
0.272475288,0.622283665,0.984593131,0.853202083,0.045460741,-0.121343075,0.02226729,0.032639211,0.007594817,-0.009697174,0.002829809,-0.019335181
0.765196921,0.281328534,0.487410058,0.034953046,0.727711938,-4.023945717,-0.293997939,0.368484101,0.060707545,-1.158121876,-1.090312428,-1.271833604
0.930979741,0.541687108,0.523503949,0.845566782,0.048285784,-0.130172064,0.009136212,0.036348681,0.018115714,-0.020308223,0.005325745,-0.015240298
0.965823355,0.842803617,0.071263909,0.191571204,0.328023558,-1.0786365,-0.101864847,0.014982945,0.230399315,-0.339794467,-0.370743337,-0.209598339
0.798924066,0.574307104,0.932037685,0.291080671,0.276225742,-0.921506058,-0.002002056,0.129631699,-0.035979807,-0.25523924,-0.194418084,-0.250567198
0.992841217,0.296885584,0.395015596,0.571060569,0.08410074,-0.25918036,0.004005981,0.068895835,0.03462344,-0.051023882,0.005225184,-0.036960573
0.260974145,0.522340988,0.933102524,0.071289782,0.568721732,-2.489586127,0.274648085,0.106418403,-0.320226134,-0.75242688,-0.865147549,-0.70475294
0.527015039,0.824260833,0.624893497,0.986546781,0.037484814,-0.096202776,0.014543675,0.024991448,0.013060126,-0.009514277,0.001504958,-0.010606762
0.40404888,0.247207617,0.226648904,0.04431376,0.640040546,-4.064359416,0.152516162,0.371240851,0.345410945,-1.051000613,-0.872014157,-0.900935837
0.315753686,0.746076438,0.642758239,0.657391941,0.080743517,-0.237057043,0.03744624,0.047549022,0.022897126,-0.027125725,-0.016490957,-0.037998951
0.517060331,0.659978701,0.62584289,0.06820024,0.692856769,-3.196606947,0.055676627,-0.025669888,-0.062756237,-1.084237822,-1.087760836,-1.083027675
0.829652101,0.424807356,0.361024624,0.597755141,0.082982958,-0.256038789,0.013121704,0.062191713,0.036057627,-0.04686789,-0.002333084,-0.033275059
0.572885568,0.508365362,0.086371643,0.757831352,0.044533861,-0.128813542,0.015133127,0.033302085,0.02588212,-0.016951492,0.002809142,-0.007051775
0.91470844,0.451244809,0.032505133,0.309746505,0.185776275,-0.673813814,-0.017418096,0.110893646,0.128980713,-0.164313699,-0.099752115,-0.076398091
0.101760838,0.585361391,0.951695431,0.703489747,0.060758552,-0.172402822,0.035102346,0.042108267,0.008022455,-0.01158129,-0.002678321,-0.030801875
0.339079214,0.223339804,0.123962798,0.015495086,0.702587965,-4.839724268,0.233427425,0.407072403,0.518062082,-1.245611874,-1.087312011,-0.94116607
0.534396217,0.226181519,0.618240199,0.055942269,0.6517994,-3.707461142,0.022951558,0.410863457,-0.06636179,-1.064424484,-0.806243813,-1.058476162
0.558013679,0.749485808,0.374338578,0.828543174,0.049747697,-0.136623562,0.017770298,0.032462717,0.022006296,-0.016714749,-0.001878997,-0.013327787
0.51296927,0.102034006,0.18071469,0.624813904,0.048983123,-0.15611368,0.017129392,0.046126548,0.026431295,-0.022006164,0.01544025,-0.013733983
